OrderID,Date,Time,NumberOfGuests,MadeBy,HandeledBy
2266, 2017-03-04,02:29,4,1000008042,5099000
2267, 2016-09-09,10:57,4,1000007853,5028125
2268, 2016-01-20,17:17,6,1000013271,5028125
2269, 2014-08-14,06:55,2,1000007819,5056250
2270, 2017-09-20,04:41,3,1000007074,5039375
2271, 2018-01-29,14:20,1,1000006306,5104625
2272, 2016-10-16,18:43,6,1000012851,5024750
2273, 2014-07-29,19:08,4,1000011449,5023625
2274, 2018-04-11,20:49,3,1000000459,5037125
2275, 2015-02-09,11:21,5,1000002338,5055125
2276, 2014-06-20,23:37,1,1000014654,5072000
2277, 2013-04-18,10:10,2,1000008908,5052875
2278, 2014-09-10,23:00,1,1000002933,5015750
2279, 2015-08-28,18:41,4,1000012042,5028125
2280, 2017-10-05,03:34,6,1000014286,5078750
2281, 2014-05-25,03:41,5,1000012643,5058500
2282, 2016-01-05,20:12,6,1000009777,5066375
2283, 2015-07-13,20:57,5,1000002700,5076500
2284, 2015-10-21,21:55,4,1000006784,5052875
2285, 2015-03-10,21:36,5,1000010691,5052875
2286, 2018-01-12,05:00,1,1000002857,5000000
2287, 2013-09-11,04:13,2,1000003921,5007875
2288, 2015-04-05,05:05,5,1000010094,5091125
2289, 2014-07-09,19:58,3,1000000946,5024750
2290, 2015-01-09,06:54,1,1000001936,5081000
2291, 2015-02-03,21:16,3,1000004077,5108000
2292, 2013-08-22,08:51,2,1000003035,5021375
2293, 2015-04-10,04:33,4,1000013562,5103500
2294, 2016-01-08,04:49,4,1000003176,5029250
2295, 2016-07-07,22:15,2,1000014010,5005625
2296, 2016-08-14,12:11,5,1000010960,5084375
2297, 2013-10-26,15:39,4,1000008368,5111375
2298, 2013-12-01,17:34,5,1000006314,5090000
2299, 2015-02-26,07:37,5,1000008981,5006750
2300, 2013-06-06,12:36,1,1000003175,5092250
2301, 2016-05-17,20:17,6,1000005870,5031500
2302, 2017-04-02,14:04,1,1000004268,5002250
2303, 2014-05-18,03:13,4,1000010642,5090000
2304, 2016-08-13,14:09,1,1000000913,5076500
2305, 2015-05-16,12:11,2,1000006356,5005625
2306, 2016-11-18,10:58,1,1000012820,5019125
2307, 2017-05-24,00:26,5,1000011768,5025875
2308, 2013-07-20,23:43,4,1000005334,5018000
2309, 2014-02-05,07:59,6,1000002790,5027000
2310, 2013-10-17,04:53,6,1000014603,5093375
2311, 2018-02-09,14:06,2,1000013164,5090000
2312, 2015-09-16,20:35,3,1000008603,5104625
2313, 2015-09-10,13:31,5,1000005142,5011250
2314, 2018-01-10,15:10,1,1000005792,5024750
2315, 2013-08-15,20:50,6,1000002159,5095625
2316, 2013-09-09,10:29,6,1000001197,5003375
2317, 2014-12-05,09:27,5,1000011075,5029250
2318, 2014-01-02,22:49,6,1000013301,5028125
2319, 2016-08-04,05:44,5,1000007786,5020250
2320, 2015-09-03,17:37,2,1000003974,5047250
2321, 2016-02-25,03:12,6,1000005498,5052875
2322, 2017-12-16,00:19,2,1000010729,5103500
2323, 2014-01-09,21:46,4,1000001099,5043875
2324, 2014-05-09,17:33,6,1000014467,5018000
2325, 2014-03-12,06:26,2,1000013300,5085500
2326, 2015-09-29,09:56,2,1000009549,5024750
2327, 2014-07-17,17:48,4,1000008361,5063000
2328, 2013-10-30,05:20,2,1000013341,5063000
2329, 2017-09-16,09:10,6,1000008783,5078750
2330, 2016-11-06,20:19,3,1000008073,5000000
2331, 2014-01-18,20:03,5,1000001662,5093375
2332, 2016-01-09,11:52,1,1000000066,5079875
2333, 2015-10-28,06:01,5,1000012262,5094500
2334, 2013-09-11,22:39,2,1000010961,5046125
2335, 2014-09-01,02:41,3,1000004536,5019125
2336, 2014-05-19,05:42,1,1000005687,5043875
2337, 2016-05-31,15:58,6,1000004957,5090000
2338, 2016-10-18,04:18,4,1000002464,5068625
2339, 2015-05-17,04:18,3,1000013445,5106875
2340, 2017-10-18,22:23,2,1000011471,5057375
2341, 2018-02-10,19:34,2,1000005474,5076500
2342, 2017-10-28,19:54,5,1000005198,5056250
2343, 2015-11-08,18:45,2,1000002303,5051750
2344, 2015-01-12,01:56,2,1000012842,5006750
2345, 2015-12-05,05:14,2,1000001449,5064125
2346, 2017-03-24,20:30,6,1000002824,5110250
2347, 2017-02-02,20:34,2,1000008739,5078750
2348, 2013-10-22,22:14,4,1000010680,5033750
2349, 2014-05-12,12:36,4,1000013516,5057375
2350, 2016-11-30,10:38,4,1000003813,5041625
2351, 2017-12-29,00:12,3,1000000392,5031500
2352, 2015-08-12,18:45,5,1000006397,5006750
2353, 2016-06-20,02:12,5,1000012910,5043875
2354, 2015-11-15,21:37,4,1000000143,5011250
2355, 2014-12-25,04:51,5,1000001113,5051750
2356, 2014-06-28,08:43,6,1000001787,5021375
2357, 2017-05-07,08:25,4,1000013576,5022500
2358, 2015-05-17,19:34,2,1000009422,5042750
2359, 2013-09-12,21:20,2,1000014111,5088875
2360, 2016-11-01,22:54,3,1000002182,5012375
2361, 2017-02-12,05:22,4,1000000822,5016875
2362, 2015-05-28,05:27,1,1000001597,5104625
2363, 2017-05-20,00:17,2,1000009902,5064125
2364, 2013-11-20,17:13,6,1000006456,5022500
2365, 2017-03-06,02:04,5,1000001927,5063000
2366, 2017-12-06,15:38,2,1000011394,5005625
2367, 2015-06-03,00:00,5,1000000700,5104625
2368, 2017-01-09,23:51,4,1000003982,5083250
2369, 2013-06-23,17:48,6,1000006302,5068625
2370, 2017-04-05,03:00,6,1000006378,5034875
2371, 2014-06-21,15:17,1,1000002426,5075375
2372, 2013-12-28,04:59,2,1000002395,5056250
2373, 2015-06-25,03:53,6,1000009606,5002250
2374, 2017-02-25,08:44,1,1000012011,5007875
2375, 2017-05-15,03:57,2,1000008463,5022500
2376, 2014-09-21,10:19,4,1000013540,5028125
2377, 2014-08-15,05:57,5,1000010665,5047250
2378, 2015-08-16,06:02,3,1000008620,5002250
2379, 2017-08-09,04:26,5,1000012831,5070875
2380, 2016-09-10,14:08,3,1000005830,5073125
2381, 2018-01-06,01:35,6,1000010720,5076500
2382, 2017-04-15,01:56,1,1000000839,5101250
2383, 2014-02-17,17:59,1,1000001188,5094500
2384, 2018-02-19,14:27,5,1000013728,5027000
2385, 2013-08-14,04:50,4,1000007666,5103500
2386, 2014-01-18,07:30,1,1000004180,5057375
2387, 2016-01-10,16:29,3,1000001646,5029250
2388, 2018-02-03,10:36,2,1000008214,5010125
2389, 2017-02-09,01:32,5,1000001073,5011250
2390, 2013-07-17,21:33,4,1000000755,5100125
2391, 2014-05-27,00:46,5,1000010588,5034875
2392, 2014-06-28,19:30,1,1000007590,5056250
2393, 2015-08-30,21:20,3,1000007948,5060750
2394, 2017-11-21,10:01,4,1000001238,5016875
2395, 2015-10-07,15:00,1,1000011145,5105750
2396, 2013-08-13,12:44,3,1000014370,5054000
2397, 2018-02-27,22:22,1,1000012697,5090000
2398, 2016-09-13,18:28,6,1000009356,5057375
2399, 2013-09-02,16:24,6,1000001482,5049500
2400, 2016-10-13,06:11,5,1000002522,5049500
2401, 2016-09-14,06:22,1,1000007045,5032625
2402, 2014-10-27,17:35,6,1000001452,5056250
2403, 2014-04-04,21:48,1,1000000966,5090000
2404, 2014-10-30,10:10,4,1000001580,5081000
2405, 2018-01-23,05:29,1,1000004972,5014625
2406, 2016-01-15,20:23,1,1000007866,5019125
2407, 2016-02-01,08:57,5,1000002719,5024750
2408, 2013-09-15,13:38,5,1000014437,5040500
2409, 2017-07-25,08:56,2,1000001579,5092250
2410, 2014-08-22,05:17,6,1000003709,5075375
2411, 2014-01-03,20:36,6,1000013972,5022500
2412, 2016-12-19,09:04,1,1000009652,5058500
2413, 2014-01-09,16:08,2,1000001691,5030375
2414, 2016-05-20,10:14,2,1000006888,5063000
2415, 2015-05-31,14:59,1,1000012423,5072000
2416, 2014-08-24,01:45,1,1000007430,5010125
2417, 2016-11-19,03:31,6,1000005817,5036000
2418, 2015-04-26,20:30,1,1000001041,5054000
2419, 2017-12-28,18:28,6,1000004228,5029250
2420, 2014-03-03,00:15,3,1000010677,5105750
2421, 2018-01-13,04:03,5,1000009088,5012375
2422, 2013-12-21,10:26,4,1000008581,5093375
2423, 2016-03-16,18:09,6,1000003294,5030375
2424, 2014-05-30,20:00,4,1000003965,5092250
2425, 2017-11-18,17:24,2,1000012609,5074250
2426, 2016-11-01,09:36,2,1000012639,5072000
2427, 2014-09-02,02:59,1,1000004215,5090000
2428, 2016-09-23,18:52,5,1000005403,5039375
2429, 2018-02-01,13:47,6,1000008027,5058500
2430, 2016-03-07,13:00,5,1000000672,5056250
2431, 2018-01-20,16:26,5,1000005464,5041625
2432, 2018-01-28,06:25,1,1000001621,5104625
2433, 2017-02-08,06:13,3,1000001955,5104625
2434, 2017-06-25,02:07,6,1000008903,5088875
2435, 2015-08-23,14:56,1,1000003913,5091125
2436, 2017-05-15,14:07,1,1000014566,5045000
2437, 2017-03-03,08:15,5,1000001919,5077625
2438, 2018-02-17,11:46,4,1000005172,5092250
2439, 2017-07-14,11:35,2,1000012179,5003375
2440, 2016-11-15,01:16,6,1000004433,5056250
2441, 2017-02-14,01:10,6,1000008932,5091125
2442, 2013-10-20,01:59,1,1000005808,5048375
2443, 2015-12-07,22:20,3,1000001794,5002250
2444, 2015-07-05,22:25,1,1000014492,5039375
2445, 2016-11-18,18:56,4,1000008672,5045000
2446, 2017-01-06,08:09,2,1000008368,5099000
2447, 2015-12-23,22:01,1,1000007957,5024750
2448, 2016-06-26,12:37,5,1000010334,5093375
2449, 2014-03-15,17:45,6,1000002146,5004500
2450, 2015-12-17,19:45,5,1000013473,5030375
2451, 2014-04-09,22:37,5,1000001644,5110250
2452, 2014-12-06,19:09,5,1000002053,5059625
2453, 2015-03-13,09:28,2,1000007140,5020250
2454, 2014-10-15,05:05,4,1000001095,5010125
2455, 2013-09-14,20:28,3,1000014485,5027000
2456, 2015-02-08,08:10,2,1000008938,5028125
2457, 2016-09-28,18:47,1,1000010555,5042750
2458, 2017-09-23,05:00,2,1000006383,5078750
2459, 2015-11-11,02:41,4,1000002174,5038250
2460, 2013-08-04,03:37,1,1000004211,5032625
2461, 2015-06-13,17:21,5,1000001136,5011250
2462, 2016-09-15,15:30,5,1000007329,5031500
2463, 2017-06-26,13:45,5,1000002124,5087750
2464, 2016-09-11,07:33,6,1000007584,5069750
2465, 2015-12-04,20:16,2,1000004300,5066375
2466, 2016-09-20,00:32,4,1000012114,5097875
2467, 2018-03-07,11:25,2,1000014837,5060750
2468, 2017-09-02,05:46,6,1000000358,5091125
2469, 2015-07-30,04:25,4,1000001599,5095625
2470, 2016-05-09,00:52,4,1000008722,5014625
2471, 2016-02-19,01:01,6,1000004066,5069750
2472, 2015-02-09,20:41,3,1000002840,5011250
2473, 2013-08-24,10:36,6,1000007396,5050625
2474, 2015-12-12,08:10,1,1000012914,5029250
2475, 2018-04-10,13:54,1,1000014842,5021375
2476, 2017-06-09,01:47,5,1000004784,5059625
2477, 2016-05-07,13:42,2,1000013414,5014625
2478, 2014-08-30,16:48,2,1000003832,5039375
2479, 2017-10-08,11:38,1,1000002040,5004500
2480, 2013-06-28,15:55,6,1000010620,5111375
2481, 2017-07-03,05:11,2,1000008825,5006750
2482, 2016-05-16,19:29,4,1000000710,5013500
2483, 2016-02-18,22:18,2,1000014391,5110250
2484, 2014-05-20,14:53,6,1000000327,5012375
2485, 2013-08-19,21:40,1,1000005847,5005625
2486, 2013-05-31,04:09,1,1000012396,5045000
2487, 2014-05-22,18:01,3,1000006813,5072000
2488, 2014-09-12,08:03,5,1000000642,5016875
2489, 2016-01-17,00:58,5,1000014239,5085500
2490, 2016-07-25,17:36,3,1000006322,5087750
2491, 2016-09-11,22:08,6,1000010107,5066375
2492, 2015-12-19,11:14,1,1000003654,5077625
2493, 2014-02-24,07:45,5,1000008545,5086625
2494, 2013-07-29,06:36,4,1000008447,5095625
2495, 2017-04-19,19:24,1,1000010530,5028125
2496, 2013-06-07,11:41,5,1000008214,5075375
2497, 2017-07-07,23:12,5,1000003110,5003375
2498, 2016-06-03,11:42,2,1000010105,5042750
2499, 2014-02-20,20:34,1,1000011021,5032625
2500, 2017-01-13,14:32,1,1000011753,5104625
2501, 2015-10-30,07:49,2,1000005438,5047250
2502, 2017-10-15,07:18,4,1000009936,5093375
2503, 2017-12-02,22:01,4,1000002871,5030375
2504, 2015-03-17,08:00,4,1000007275,5016875
2505, 2015-12-12,23:58,4,1000014848,5007875
2506, 2018-04-02,23:24,1,1000004354,5106875
2507, 2013-10-21,08:39,2,1000009368,5102375
2508, 2017-05-30,21:52,2,1000005229,5023625
2509, 2016-12-05,12:39,4,1000005757,5063000
2510, 2013-07-21,11:53,4,1000013497,5091125
2511, 2017-07-28,11:27,5,1000003613,5104625
2512, 2017-02-17,23:37,4,1000013246,5058500
2513, 2016-03-04,09:27,4,1000008964,5037125
2514, 2014-02-01,13:44,5,1000001897,5095625
2515, 2017-06-14,06:18,3,1000005938,5040500
2516, 2017-05-21,23:24,2,1000002194,5069750
2517, 2014-11-30,03:14,1,1000010978,5041625
2518, 2017-11-17,01:51,1,1000014352,5096750
2519, 2013-07-04,15:56,3,1000009343,5078750
2520, 2017-05-23,13:59,4,1000011742,5106875
2521, 2013-11-10,04:39,2,1000014856,5083250
2522, 2017-03-25,00:23,6,1000000799,5097875
2523, 2013-12-23,21:14,3,1000007650,5016875
2524, 2014-08-30,20:46,3,1000012089,5000000
2525, 2015-01-05,19:55,2,1000002793,5100125
2526, 2014-11-01,10:08,1,1000008286,5094500
2527, 2017-10-14,04:08,4,1000010804,5038250
2528, 2017-07-27,04:25,6,1000009196,5086625
2529, 2015-02-09,13:07,6,1000006687,5005625
2530, 2017-07-25,19:42,1,1000000720,5063000
2531, 2014-04-10,11:49,2,1000002346,5104625
2532, 2015-08-02,20:52,4,1000014912,5047250
2533, 2016-12-23,19:09,1,1000000269,5050625
2534, 2014-02-08,07:01,1,1000007406,5009000
2535, 2014-03-28,23:19,3,1000004617,5010125
2536, 2015-06-26,10:46,5,1000014271,5105750
2537, 2017-05-15,11:13,3,1000011883,5085500
2538, 2014-08-02,14:43,3,1000007447,5073125
2539, 2018-03-16,08:10,4,1000003035,5025875
2540, 2018-03-16,08:47,6,1000001617,5090000
2541, 2013-12-14,18:08,5,1000014834,5031500
2542, 2015-08-31,20:25,2,1000014439,5081000
2543, 2017-06-29,15:57,3,1000010827,5081000
2544, 2013-04-27,22:21,6,1000001426,5033750
2545, 2016-10-13,20:54,6,1000008477,5103500
2546, 2018-01-08,13:37,6,1000012188,5052875
2547, 2014-10-31,15:22,4,1000005758,5074250
2548, 2014-08-17,09:23,2,1000007584,5012375
2549, 2015-08-31,19:32,6,1000008081,5031500
2550, 2016-03-09,07:11,1,1000012229,5000000
2551, 2016-10-18,13:41,2,1000002938,5012375
2552, 2017-03-16,01:04,5,1000014066,5090000
2553, 2015-07-20,17:32,4,1000006416,5021375
2554, 2017-06-20,13:27,4,1000004935,5088875
2555, 2017-11-20,22:39,5,1000003418,5032625
2556, 2018-01-14,01:25,5,1000011558,5030375
2557, 2017-08-04,18:49,3,1000012636,5049500
2558, 2013-05-05,14:19,5,1000007967,5021375
2559, 2016-01-04,11:41,2,1000004479,5108000
2560, 2014-07-23,04:08,3,1000014377,5073125
2561, 2015-04-12,08:12,4,1000009840,5022500
2562, 2016-03-26,08:14,1,1000005800,5021375
2563, 2017-05-09,07:58,2,1000002240,5097875
2564, 2016-01-09,09:37,3,1000002906,5054000
2565, 2018-02-04,04:00,4,1000005901,5010125
2566, 2015-11-01,20:23,4,1000006653,5063000
2567, 2014-07-26,21:31,4,1000008088,5068625
2568, 2014-10-06,17:02,1,1000008745,5052875
2569, 2015-12-13,09:20,4,1000009884,5014625
2570, 2017-02-18,20:50,6,1000008167,5025875
2571, 2014-03-28,02:06,5,1000002404,5014625
2572, 2017-01-04,04:38,5,1000014291,5049500
2573, 2015-09-02,07:31,1,1000003994,5001125
2574, 2015-03-10,20:09,1,1000005242,5041625
2575, 2014-10-19,05:47,4,1000003027,5099000
2576, 2016-05-17,14:22,4,1000010201,5034875
2577, 2015-11-12,20:12,5,1000000596,5006750
2578, 2016-02-23,16:44,6,1000002977,5043875
2579, 2016-07-07,18:01,2,1000003191,5101250
2580, 2017-05-04,13:49,6,1000009292,5054000
2581, 2017-12-11,14:27,5,1000001203,5046125
2582, 2017-01-30,04:36,1,1000011256,5003375
2583, 2014-07-15,02:11,1,1000000514,5027000
2584, 2013-06-21,18:06,6,1000002694,5028125
2585, 2014-01-09,04:01,4,1000002407,5087750
2586, 2013-08-27,07:40,5,1000012070,5004500
2587, 2013-05-06,06:19,5,1000011934,5033750
2588, 2015-07-21,09:09,2,1000003040,5105750
2589, 2014-09-23,19:15,3,1000007372,5042750
2590, 2017-07-12,07:42,1,1000000583,5060750
2591, 2015-01-05,12:52,1,1000005604,5000000
2592, 2016-06-28,17:06,2,1000014215,5030375
2593, 2017-06-18,08:41,3,1000005500,5020250
2594, 2017-08-19,14:20,2,1000007013,5034875
2595, 2017-09-01,08:00,3,1000008378,5100125
2596, 2014-02-06,01:59,2,1000006599,5024750
2597, 2015-09-17,12:04,5,1000008161,5086625
2598, 2015-02-18,15:16,4,1000014531,5010125
2599, 2015-09-11,17:07,1,1000003693,5065250
2600, 2016-01-23,10:43,3,1000008717,5034875
2601, 2017-06-25,06:46,4,1000003253,5004500
2602, 2015-07-02,02:14,3,1000006664,5047250
2603, 2017-10-17,12:56,6,1000012511,5020250
2604, 2017-05-28,10:51,2,1000001511,5049500
2605, 2014-08-19,12:43,4,1000001315,5048375
2606, 2013-06-24,22:52,3,1000014146,5043875
2607, 2018-01-26,23:36,2,1000003269,5012375
2608, 2017-02-11,12:11,6,1000001509,5074250
2609, 2015-08-07,22:36,2,1000007830,5009000
2610, 2018-03-22,23:15,4,1000005016,5033750
2611, 2014-01-28,14:02,4,1000001882,5075375
2612, 2017-11-11,04:16,1,1000002476,5022500
2613, 2014-08-30,20:48,2,1000006613,5060750
2614, 2016-02-13,23:22,1,1000006785,5076500
2615, 2017-12-25,03:13,6,1000006325,5018000
2616, 2015-05-29,14:55,6,1000007000,5036000
2617, 2013-06-08,12:05,5,1000008656,5012375
2618, 2017-01-20,07:18,5,1000002281,5021375
2619, 2015-03-23,10:59,2,1000002703,5100125
2620, 2013-09-21,03:10,2,1000006208,5070875
2621, 2013-06-22,04:30,3,1000001774,5064125
2622, 2014-12-20,02:52,4,1000013655,5011250
2623, 2013-05-18,02:01,4,1000004684,5016875
2624, 2014-02-08,15:59,3,1000010923,5019125
2625, 2015-07-15,06:07,3,1000000497,5011250
2626, 2017-11-14,14:43,6,1000010083,5081000
2627, 2018-01-23,11:47,4,1000006122,5048375
2628, 2013-08-27,07:49,5,1000007614,5030375
2629, 2014-09-16,12:04,1,1000009905,5067500
2630, 2013-09-21,06:33,3,1000009417,5020250
2631, 2017-07-06,21:50,1,1000009735,5105750
2632, 2014-01-13,17:01,3,1000000135,5034875
2633, 2015-09-20,23:39,5,1000011550,5099000
2634, 2013-10-05,05:54,4,1000000044,5093375
