OrderID,IMO_Number,Room_Number,Voyage_Code
2293,9104005,69,117
2294,9228186,574,104
2295,9103996,583,113
2296,9187887,6,124
2297,9192351,207,121
2298,9103996,639,131
2299,9192351,439,123
2300,9169550,328,132
2301,9103996,696,101
2302,9150913,390,109
2303,9150913,298,141
2304,9215490,136,148
2305,9150913,293,112
2306,9103996,97,137
2307,9103996,492,113
2308,9169550,352,144
2309,9103996,454,137
2310,9192351,196,121
2311,9187887,519,106
2312,9192351,9,115
2313,9187887,450,135
2314,9103996,155,105
2315,9104005,25,107
2316,9103996,678,142
2317,9103996,596,134
2318,9192351,522,115
2319,9215490,253,128
2320,9103996,312,134
2321,9103996,694,118
2322,9169550,299,136
2323,9103996,609,111
2324,9228186,67,104
2325,9103996,55,101
2326,9150913,404,103
2327,9187887,176,106
2328,9104005,666,143
2329,9192363,612,140
2330,9215490,358,139
2331,9103996,374,125
2332,9228186,67,127
2333,9103996,652,101
2334,9169550,608,136
2335,9215490,385,128
2336,9187887,352,135
2337,9192351,700,100
2338,9228186,633,149
2339,9192351,199,121
2340,9228186,136,130
2341,9104005,467,143
2342,9150913,392,141
2343,9215490,586,108
2344,9103996,619,105
2345,9169550,510,144
2346,9192351,177,115
2347,9169550,219,136
2348,9192363,523,116
2349,9187887,692,124
2350,9103996,645,125
2351,9187887,201,106
2352,9103996,151,118
2353,9103996,230,131
2354,9103996,689,137
2355,9169550,668,144
2356,9103996,673,111
2357,9192351,298,100
2358,9215490,699,148
2359,9103996,84,131
2360,9103996,532,118
2361,9192351,252,146
2362,9228186,85,102
2363,9192351,416,115
2364,9192351,250,100
2365,9103996,264,131
2366,9228186,76,127
2367,9192351,156,100
2368,9103996,655,113
2369,9215490,245,128
2370,9228186,300,149
2371,9215490,357,128
2372,9103996,695,105
2373,9150913,119,109
2374,9187887,678,145
2375,9192363,655,140
2376,9192363,160,140
2377,9192363,14,119
2378,9187887,366,124
2379,9192351,12,100
2380,9228186,475,104
2381,9192351,352,121
2382,9187887,290,145
2383,9192363,495,140
2384,9103996,443,142
2385,9187887,17,106
2386,9192351,578,129
2387,9103996,12,113
2388,9103996,141,131
2389,9104005,439,107
2390,9103996,599,131
2391,9169550,422,144
2392,9103996,672,142
2393,9192351,411,115
2394,9103996,10,101
2395,9192351,143,123
2396,9215490,123,108
2397,9228186,368,104
2398,9228186,532,130
2399,9192351,421,123
2400,9103996,8,105
2401,9103996,10,131
2402,9103996,292,101
2403,9215490,282,128
2404,9103996,569,113
2405,9104005,669,107
2406,9150913,555,112
2407,9228186,295,130
2408,9103996,433,131
2409,9228186,461,102
2410,9103996,161,131
2411,9169550,155,110
2412,9192351,481,126
2413,9104005,14,114
2414,9215490,688,128
2415,9192363,213,119
2416,9103996,273,105
2417,9103996,511,101
2418,9215490,327,148
2419,9150913,275,109
2420,9169550,581,136
2421,9228186,610,149
2422,9192363,437,119
2423,9103996,83,105
2424,9192351,558,138
2425,9228186,581,130
2426,9187887,102,106
2427,9215490,408,139
2428,9215490,422,108
2429,9228186,145,149
2430,9192351,53,100
2431,9215490,613,139
2432,9103996,655,118
2433,9103996,82,101
2434,9192351,157,115
2435,9150913,267,109
2436,9215490,140,128
2437,9150913,1,112
2438,9103996,669,134
2439,9103996,464,134
2440,9192351,396,146
2441,9228186,466,149
2442,9104005,516,143
2443,9169550,188,132
2444,9192351,40,129
2445,9169550,555,144
2446,9192351,165,126
2447,9150913,18,109
2448,9192351,409,121
2449,9187887,22,135
2450,9228186,189,122
2451,9104005,308,114
2452,9103996,563,137
2453,9103996,116,137
2454,9192363,108,116
2455,9192351,686,126
2456,9103996,596,111
2457,9192363,388,140
2458,9104005,37,114
2459,9169550,87,110
2460,9215490,303,128
2461,9169550,469,110
2462,9215490,402,139
2463,9104005,32,117
2464,9228186,334,102
2465,9103996,108,134
2466,9228186,378,127
2467,9104005,477,143
2468,9103996,376,113
2469,9215490,565,139
2470,9192351,602,146
2471,9187887,463,124
2472,9228186,463,104
2473,9169550,567,136
2474,9228186,566,127
2475,9104005,628,107
2476,9192351,555,138
2477,9169550,675,132
2478,9192351,142,100
2479,9228186,130,122
2480,9192351,414,146
2481,9215490,635,128
2482,9192363,106,116
2483,9228186,432,130
2484,9192363,252,116
2485,9103996,317,118
2486,9228186,60,102
2487,9169550,541,144
2488,9150913,7,109
2489,9192351,648,123
2490,9192351,208,126
2491,9187887,610,145
2492,9228186,444,127
2493,9104005,339,143
2494,9228186,156,127
2495,9103996,22,111
2496,9150913,674,112
2497,9215490,613,139
2498,9192363,459,147
2499,9103996,96,105
2500,9104005,413,117
2501,9192363,32,119
2502,9187887,597,135
2503,9228186,391,104
2504,9228186,590,149
2505,9192351,298,129
2506,9103996,651,131
2507,9192351,361,126
2508,9228186,245,130
2509,9169550,661,136
2510,9104005,650,143
2511,9103996,633,111
2512,9192351,603,123
2513,9192363,480,116
2514,9192351,434,129
2515,9215490,597,108
2516,9150913,522,141
2517,9103996,399,105
2518,9103996,541,111
2519,9228186,512,127
2520,9103996,218,134
2521,9228186,205,104
2522,9103996,66,142
2523,9187887,60,124
2524,9187887,301,135
2525,9192351,398,100
2526,9104005,443,143
2527,9187887,625,135
2528,9228186,110,127
2529,9192351,1,121
2530,9187887,412,106
2531,9215490,239,139
2532,9103996,513,105
2533,9228186,231,149
2534,9192351,8,115
2535,9215490,161,128
2536,9215490,66,148
2537,9150913,683,141
2538,9228186,122,130
2539,9150913,604,141
2540,9228186,185,149
2541,9192363,52,116
2542,9228186,465,104
2543,9104005,273,114
2544,9150913,228,141
2545,9103996,96,118
2546,9103996,4,113
2547,9228186,207,104
2548,9192351,34,126
2549,9169550,145,110
2550,9215490,347,139
2551,9104005,620,117
2552,9150913,621,103
2553,9103996,619,131
2554,9150913,234,109
2555,9169550,593,110
2556,9215490,74,139
2557,9103996,107,131
2558,9187887,58,124
2559,9192351,616,146
2560,9103996,109,101
2561,9103996,102,125
2562,9169550,297,132
2563,9169550,109,144
2564,9169550,334,132
2565,9103996,692,134
2566,9169550,27,144
2567,9103996,608,142
2568,9104005,32,107
2569,9104005,508,143
2570,9192351,382,146
2571,9103996,282,131
2572,9104005,367,114
2573,9103996,500,101
2574,9187887,620,135
2575,9215490,692,128
2576,9187887,671,135
2577,9150913,44,133
2578,9103996,397,113
2579,9192351,367,100
2580,9150913,25,109
2581,9228186,50,104
2582,9169550,19,136
2583,9103996,21,111
2584,9150913,501,109
2585,9103996,141,101
2586,9103996,302,134
2587,9215490,294,120
2588,9187887,103,145
2589,9192351,683,126
2590,9228186,589,102
2591,9103996,41,134
2592,9215490,464,139
2593,9192351,321,126
2594,9103996,378,125
2595,9103996,49,113
2596,9187887,569,106
2597,9187887,462,135
2598,9103996,95,113
2599,9103996,235,101
2600,9187887,456,106
2601,9103996,438,101
2602,9150913,486,109
2603,9192363,231,147
2604,9215490,190,148
2605,9192351,586,126
2606,9192363,326,119
2607,9103996,245,131
2608,9104005,329,117
2609,9150913,195,109
2610,9103996,265,142
2611,9103996,361,125
2612,9169550,258,136
2613,9192351,542,138
2614,9192351,353,100
2615,9150913,387,109
2616,9228186,599,122
2617,9192351,74,115
2618,9169550,643,136
2619,9150913,650,133
2620,9103996,50,111
2621,9104005,352,107
2622,9103996,65,101
2623,9187887,529,106
2624,9192351,664,123
2625,9169550,586,132
2626,9192351,477,138
2627,9150913,233,109
2628,9150913,528,133
2629,9215490,410,148
2630,9103996,189,101
2631,9104005,607,114
2632,9192363,670,119
2633,9103996,694,142
2634,9103996,128,142
2635,9215490,264,108
2636,9228186,39,122
2637,9215490,657,128
2638,9192351,150,138
2639,9187887,356,135
2640,9192351,296,129
2641,9187887,175,135
2642,9169550,297,144
2643,9104005,379,143
2644,9169550,528,136
2645,9187887,364,106
2646,9103996,550,105
2647,9103996,256,125
2648,9192351,389,115
2649,9103996,364,125
2650,9215490,188,108
2651,9103996,450,101
2652,9187887,312,145
2653,9192363,226,140
2654,9192363,263,119
2655,9169550,576,132
2656,9192351,170,123
2657,9103996,621,101
2658,9103996,579,101
2659,9103996,211,125
2660,9169550,548,144
2661,9103996,248,118
2662,9103996,302,113
2663,9103996,38,131
2664,9103996,539,142
2665,9103996,226,111
2666,9150913,431,141
2667,9169550,153,110
2668,9103996,654,131
2669,9228186,196,104
2670,9215490,640,108
2671,9192351,662,100
2672,9103996,235,111
2673,9228186,649,130
2674,9103996,31,137
2675,9103996,248,142
2676,9192351,484,138
2677,9192363,95,116
2678,9228186,640,104
2679,9150913,655,133
2680,9192351,137,115
2681,9192363,494,116
2682,9103996,402,131
2683,9150913,38,141
2684,9192363,338,119
2685,9104005,291,117
2686,9103996,185,101
2687,9104005,292,114
2688,9150913,392,141
2689,9192351,73,126
2690,9103996,238,125
2691,9169550,205,136
2692,9187887,2,124
2693,9228186,278,102
2694,9187887,612,145
2695,9103996,240,111
2696,9228186,546,127
2697,9150913,470,109
2698,9192351,673,138
2699,9150913,263,133
2700,9192363,580,140
2701,9150913,429,112
2702,9150913,319,112
2703,9192363,645,140
2704,9169550,490,132
2705,9103996,584,125
2706,9192351,686,138
2707,9187887,385,135
2708,9150913,158,141
2709,9228186,365,102
2710,9228186,119,130
2711,9150913,311,103
2712,9192363,143,119
2713,9103996,548,113
2714,9103996,319,137
2715,9150913,280,112
2716,9150913,460,133
2717,9150913,669,103
2718,9187887,229,135
2719,9103996,3,142
2720,9192351,493,129
2721,9150913,419,133
2722,9103996,17,131
2723,9215490,33,128
2724,9104005,212,143
2725,9150913,624,141
2726,9192351,30,126
2727,9192351,102,115
2728,9103996,693,134
2729,9228186,171,104
2730,9228186,515,122
2731,9103996,622,113
2732,9187887,503,135
2733,9104005,6,143
2734,9103996,533,105
2735,9103996,663,111
2736,9215490,123,128
2737,9192351,32,123
2738,9103996,103,137
2739,9187887,104,145
2740,9215490,80,148
2741,9192351,437,121
2742,9228186,462,122
2743,9103996,311,113
2744,9150913,401,103
2745,9215490,178,148
2746,9192351,331,126
2747,9192363,496,140
2748,9150913,632,109
2749,9150913,132,133
2750,9228186,74,149
2751,9150913,461,103
2752,9215490,205,148
2753,9150913,151,103
2754,9215490,373,128
2755,9228186,377,127
2756,9150913,621,112
2757,9228186,395,102
2758,9228186,508,149
2759,9192351,467,126
2760,9215490,355,128
2761,9192351,373,121
2762,9169550,161,110
2763,9103996,132,118
2764,9150913,56,141
2765,9187887,671,106
2766,9150913,101,103
2767,9169550,65,132
2768,9103996,81,101
2769,9103996,178,125
2770,9103996,453,137
2771,9150913,340,112
2772,9150913,101,112
2773,9215490,521,139
2774,9104005,452,107
2775,9169550,416,136
2776,9169550,608,110
2777,9228186,301,104
2778,9103996,81,137
2779,9187887,672,124
2780,9104005,498,117
2781,9215490,609,128
2782,9192351,616,100
2783,9104005,153,107
2784,9228186,398,102
2785,9215490,78,148
2786,9150913,172,103
2787,9187887,682,135
2788,9228186,37,104
2789,9192351,371,146
2790,9169550,376,144
2791,9150913,478,109
2792,9215490,494,139
2793,9192351,582,121
2794,9228186,699,104
2795,9215490,435,108
2796,9228186,209,149
2797,9169550,214,110
2798,9103996,615,105
2799,9103996,311,101
2800,9103996,303,125
2801,9192351,561,146
2802,9103996,636,142
2803,9192351,288,121
2804,9104005,187,117
2805,9150913,590,133
2806,9192351,653,115
2807,9187887,440,124
2808,9192351,230,138
2809,9192351,315,100
2810,9228186,519,149
2811,9103996,391,111
2812,9169550,420,136
2813,9104005,296,117
2814,9192351,630,129
2815,9103996,560,134
2816,9103996,445,142
2817,9187887,139,145
2818,9104005,175,107
2819,9228186,291,102
2820,9215490,230,120
2821,9104005,435,107
2822,9103996,609,131
2823,9215490,229,139
2824,9150913,179,112
2825,9169550,556,132
2826,9150913,625,103
2827,9103996,83,142
2828,9187887,572,145
2829,9103996,466,137
2830,9228186,280,127
2831,9192351,521,138
2832,9103996,406,137
2833,9103996,622,105
2834,9228186,65,102
2835,9103996,240,113
2836,9192351,289,146
2837,9192363,7,140
2838,9169550,628,144
2839,9228186,381,149
2840,9192363,46,140
2841,9187887,418,106
2842,9215490,569,108
2843,9187887,524,106
2844,9228186,107,127
2845,9228186,688,104
2846,9215490,134,139
2847,9103996,516,105
2848,9192351,78,121
2849,9150913,427,103
2850,9169550,644,110
2851,9169550,118,144
2852,9103996,91,131
2853,9150913,234,109
2854,9169550,292,136
2855,9192363,641,147
2856,9228186,430,149
2857,9150913,649,103
2858,9104005,398,117
2859,9104005,349,107
2860,9192363,67,119
2861,9104005,524,117
2862,9228186,240,149
2863,9187887,440,135
2864,9192351,291,115
2865,9103996,671,105
2866,9150913,443,103
2867,9192351,237,129
2868,9215490,33,120
2869,9169550,302,144
2870,9103996,700,137
2871,9169550,122,132
2872,9192351,421,121
2873,9103996,57,111
2874,9150913,1,109
2875,9104005,125,114
2876,9228186,571,149
2877,9192351,215,138
2878,9192351,65,138
2879,9192351,506,123
2880,9192351,488,138
2881,9103996,39,113
2882,9187887,54,135
2883,9215490,129,148
2884,9192351,313,126
2885,9103996,33,118
2886,9104005,414,107
2887,9103996,241,134
2888,9187887,41,135
2889,9192351,452,126
2890,9103996,338,142
2891,9187887,585,135
2892,9215490,558,108
2893,9187887,339,106
2894,9187887,647,145
2895,9104005,372,107
2896,9228186,70,122
2897,9103996,337,111
2898,9215490,298,148
2899,9104005,537,117
2900,9150913,248,109
2901,9103996,378,125
2902,9169550,337,136
2903,9103996,342,105
2904,9103996,287,101
2905,9187887,506,124
2906,9150913,552,109
2907,9192351,213,126
2908,9103996,330,137
2909,9228186,636,102
2910,9169550,390,136
2911,9187887,214,145
2912,9169550,552,110
2913,9228186,264,127
2914,9103996,142,142
2915,9192351,520,129
2916,9103996,61,111
2917,9187887,108,124
2918,9169550,172,132
2919,9169550,192,144
2920,9104005,416,143
2921,9103996,438,134
2922,9103996,442,134
2923,9103996,538,142
2924,9103996,659,131
2925,9104005,109,117
2926,9192351,258,126
2927,9150913,236,133
2928,9192351,26,115
2929,9104005,603,143
2930,9150913,641,133
2931,9103996,261,137
2932,9187887,184,124
2933,9150913,635,109
2934,9150913,198,109
2935,9150913,2,103
2936,9192363,121,119
2937,9192363,104,119
2938,9192363,673,116
2939,9150913,651,112
2940,9187887,690,145
2941,9192351,474,123
2942,9215490,414,128
2943,9169550,221,144
2944,9228186,195,130
2945,9103996,78,118
2946,9192351,355,123
2947,9192351,3,129
2948,9192363,69,147
2949,9192351,295,126
2950,9192351,479,121
2951,9228186,147,127
2952,9150913,280,109
2953,9187887,161,124
2954,9228186,498,130
2955,9215490,555,120
2956,9103996,610,113
2957,9104005,612,117
2958,9150913,309,103
2959,9187887,694,124
2960,9187887,370,124
2961,9104005,217,117
2962,9150913,457,133
2963,9103996,568,118
2964,9104005,378,143
2965,9103996,683,105
2966,9150913,2,141
2967,9192351,143,123
2968,9192363,77,119
2969,9104005,287,117
2970,9187887,330,124
2971,9150913,535,109
2972,9150913,64,133
2973,9169550,320,144
2974,9192363,211,116
2975,9187887,586,124
2976,9192351,85,123
2977,9103996,167,111
2978,9169550,445,144
2979,9215490,59,108
2980,9187887,206,124
2981,9192351,611,126
2982,9169550,60,136
2983,9192351,30,138
2984,9192351,347,138
2985,9104005,433,114
2986,9103996,242,113
2987,9192351,126,126
2988,9192351,285,121
2989,9103996,379,113
2990,9228186,243,104
2991,9103996,218,105
2992,9187887,372,145
2993,9103996,121,111
2994,9192363,647,147
2995,9104005,109,107
2996,9169550,359,136
2997,9187887,214,124
2998,9150913,23,109
2999,9150913,535,133
3000,9215490,656,120
3001,9228186,24,104
3002,9104005,302,107
3003,9150913,590,109
3004,9169550,121,110
3005,9192351,41,138
3006,9150913,189,109
3007,9103996,679,125
3008,9103996,164,134
3009,9215490,230,120
3010,9192351,527,100
3011,9192363,18,147
3012,9228186,31,130
3013,9150913,285,103
3014,9103996,692,131
3015,9104005,646,107
3016,9215490,62,128
3017,9228186,87,127
3018,9192363,48,116
3019,9228186,530,102
3020,9228186,363,122
3021,9169550,122,144
3022,9104005,416,143
3023,9215490,358,148
3024,9192351,370,146
3025,9150913,68,112
3026,9103996,338,101
3027,9192363,239,116
3028,9169550,595,136
3029,9192351,614,126
3030,9228186,585,130
3031,9103996,79,111
3032,9192351,681,126
3033,9228186,81,149
3034,9103996,286,134
3035,9215490,13,108
3036,9104005,653,107
3037,9228186,162,104
3038,9187887,56,145
3039,9192363,316,116
3040,9103996,24,111
3041,9103996,464,118
3042,9104005,111,114
3043,9192351,280,126
3044,9187887,306,145
3045,9150913,77,141
3046,9103996,23,137
3047,9150913,306,109
3048,9103996,472,137
3049,9192363,86,147
3050,9192351,519,123
3051,9187887,372,106
3052,9192363,175,119
3053,9215490,2,120
3054,9228186,464,149
3055,9215490,520,148
3056,9103996,518,125
3057,9192363,663,140
3058,9215490,155,139
3059,9228186,616,130
3060,9103996,41,134
3061,9192351,212,115
3062,9103996,109,134
3063,9169550,302,136
3064,9192351,623,123
3065,9192351,196,138
3066,9215490,234,120
3067,9103996,211,131
3068,9228186,552,102
3069,9103996,160,101
3070,9104005,321,114
3071,9187887,488,106
3072,9187887,409,124
3073,9228186,372,127
3074,9103996,295,113
3075,9103996,609,142
3076,9228186,98,127
3077,9103996,271,118
3078,9169550,374,132
3079,9103996,168,125
3080,9228186,374,122
3081,9150913,420,109
3082,9104005,254,117
3083,9215490,587,108
3084,9215490,166,139
3085,9192363,265,119
3086,9169550,627,144
3087,9192351,598,123
3088,9228186,540,149
3089,9192351,670,138
3090,9187887,47,145
3091,9192351,551,129
3092,9103996,365,134
3093,9187887,571,124
3094,9192351,627,126
3095,9187887,143,145
3096,9215490,644,120
3097,9169550,461,132
3098,9192351,411,129
3099,9192351,236,138
3100,9228186,197,104
3101,9150913,36,141
3102,9215490,186,108
3103,9228186,168,149
3104,9103996,352,134
3105,9228186,259,127
3106,9169550,182,136
3107,9192363,225,140
3108,9192363,264,147
3109,9192363,238,116
3110,9228186,84,127
3111,9215490,639,148
3112,9228186,641,122
3113,9192363,252,119
3114,9150913,66,112
3115,9187887,286,124
3116,9169550,540,144
3117,9150913,299,141
3118,9103996,231,137
3119,9192351,486,129
3120,9192351,211,129
3121,9228186,269,122
3122,9215490,355,148
3123,9103996,652,137
3124,9169550,522,144
3125,9103996,87,101
3126,9192363,364,140
3127,9192363,676,119
3128,9215490,567,128
3129,9103996,653,137
3130,9192351,593,146
3131,9104005,261,143
3132,9192351,368,115
3133,9104005,151,143
3134,9150913,361,141
3135,9192363,22,119
3136,9187887,400,124
3137,9228186,698,130
3138,9103996,142,105
3139,9187887,8,124
3140,9103996,408,131
3141,9104005,328,107
3142,9192363,691,147
3143,9104005,142,114
3144,9169550,211,136
3145,9187887,137,135
3146,9150913,457,109
3147,9104005,190,107
3148,9192363,243,119
3149,9192363,622,119
3150,9187887,237,124
3151,9169550,134,136
3152,9169550,443,110
3153,9104005,697,107
3154,9215490,487,108
3155,9150913,162,133
3156,9103996,638,105
3157,9103996,349,125
3158,9104005,377,117
3159,9104005,592,114
3160,9215490,472,148
3161,9103996,444,113
3162,9215490,653,120
3163,9187887,696,124
3164,9228186,32,102
3165,9192363,141,147
3166,9192363,573,119
3167,9187887,659,106
3168,9192351,129,138
3169,9215490,427,139
3170,9228186,449,122
3171,9169550,409,136
3172,9104005,355,107
3173,9228186,119,149
3174,9192351,22,146
3175,9192363,652,140
3176,9192351,626,138
3177,9192351,609,100
3178,9103996,667,131
3179,9104005,367,143
3180,9104005,544,114
3181,9103996,90,142
3182,9103996,413,134
3183,9104005,154,114
3184,9228186,220,102
3185,9104005,17,107
3186,9169550,485,144
3187,9215490,33,120
3188,9169550,200,132
3189,9103996,166,125
3190,9104005,602,143
3191,9104005,296,107
3192,9192351,668,138
3193,9228186,75,104
3194,9104005,161,143
3195,9192363,38,140
3196,9187887,54,124
3197,9104005,75,117
3198,9103996,570,113
3199,9103996,688,137
3200,9187887,176,135
3201,9228186,260,102
3202,9192363,185,147
3203,9228186,258,104
3204,9192351,397,100
3205,9192351,559,123
3206,9103996,492,111
3207,9103996,673,118
3208,9192351,652,115
3209,9192351,148,121
3210,9150913,263,112
3211,9150913,394,109
3212,9192351,523,123
3213,9192363,15,116
3214,9228186,221,130
3215,9192351,195,115
3216,9104005,685,143
3217,9215490,132,139
3218,9104005,163,143
3219,9215490,245,139
3220,9103996,467,105
3221,9192363,595,116
3222,9192351,467,115
3223,9192363,394,140
3224,9228186,49,104
3225,9104005,98,117
3226,9192363,397,116
3227,9103996,528,118
3228,9192363,326,119
3229,9192363,342,116
3230,9187887,486,145
3231,9192363,101,119
3232,9228186,233,127
3233,9228186,213,127
3234,9228186,148,127
3235,9228186,334,102
3236,9187887,602,106
3237,9150913,565,133
3238,9215490,45,120
3239,9187887,206,106
3240,9192351,100,121
3241,9192351,157,129
3242,9104005,232,114
3243,9103996,592,134
3244,9192363,292,140
3245,9192351,46,123
3246,9187887,53,145
3247,9103996,80,113
3248,9169550,523,144
3249,9228186,262,127
3250,9192351,49,126
3251,9150913,371,103
3252,9187887,498,124
3253,9192363,380,116
3254,9150913,582,109
3255,9228186,104,149
3256,9103996,320,142
3257,9228186,355,104
3258,9169550,535,144
3259,9150913,376,133
3260,9187887,124,135
3261,9192351,453,100
3262,9215490,300,108
3263,9192351,319,100
3264,9103996,693,137
3265,9169550,246,136
3266,9192351,222,121
3267,9103996,235,113
3268,9169550,622,136
3269,9187887,231,124
3270,9215490,431,139
3271,9103996,418,137
3272,9187887,60,124
3273,9192351,301,100
3274,9228186,147,122
3275,9150913,501,109
3276,9192351,231,123
3277,9103996,337,137
3278,9169550,20,132
3279,9103996,103,113
3280,9103996,266,134
3281,9215490,436,120
3282,9103996,560,101
3283,9169550,229,136
3284,9187887,399,145
3285,9215490,682,120
3286,9228186,491,127
3287,9192363,405,116
3288,9192351,351,146
3289,9169550,497,136
3290,9150913,154,103
3291,9192363,105,140
3292,9103996,545,134
3293,9228186,33,104
3294,9104005,219,114
3295,9215490,127,128
3296,9192351,36,138
3297,9104005,63,114
3298,9187887,339,106
3299,9104005,301,143
3300,9104005,640,107
3301,9228186,281,127
3302,9215490,519,120
3303,9215490,23,120
3304,9103996,205,131
3305,9150913,491,133
3306,9215490,34,139
3307,9192351,143,100
3308,9150913,680,141
3309,9103996,596,111
3310,9103996,193,101
3311,9103996,206,142
3312,9103996,361,131
3313,9150913,70,109
3314,9228186,445,122
3315,9192363,208,140
3316,9228186,291,102
3317,9169550,628,132
3318,9192363,138,140
3319,9192351,192,138
3320,9169550,60,132
3321,9228186,687,104
3322,9103996,126,101
3323,9103996,255,137
3324,9103996,99,105
3325,9215490,294,128
3326,9228186,6,102
3327,9103996,203,125
3328,9192351,68,129
3329,9228186,559,130
3330,9103996,34,125
3331,9103996,617,142
3332,9103996,393,105
3333,9228186,48,122
3334,9150913,151,109
3335,9169550,240,136
3336,9150913,442,112
3337,9104005,506,107
3338,9215490,252,120
3339,9192351,190,121
3340,9228186,346,122
3341,9169550,322,136
3342,9104005,501,107
3343,9169550,394,132
3344,9103996,46,118
3345,9192351,101,115
3346,9192351,512,129
3347,9192351,305,129
3348,9103996,534,118
3349,9228186,450,102
3350,9228186,689,102
3351,9192351,354,123
3352,9103996,197,125
3353,9192363,529,140
3354,9192363,242,140
3355,9103996,252,137
3356,9103996,508,105
3357,9192351,113,123
3358,9228186,443,122
3359,9103996,380,137
3360,9150913,473,109
3361,9192363,679,140
3362,9192351,590,138
3363,9192351,80,126
3364,9103996,47,142
3365,9228186,34,127
3366,9103996,696,101
3367,9215490,205,108
