IMO Number,Room Number,Type,Max Guests,price
9103996,213,Standard,2,134
9103996,214,Standard,7,178
9103996,215,Standard,3,189
9103996,216,Standard,4,209
9103996,217,Standard,6,174
9103996,218,Standard,2,213
9103996,219,Standard,2,212
9103996,220,Standard,5,156
9103996,221,Standard,7,237
9103996,222,Standard,6,217
9103996,223,Standard,5,178
9103996,224,Standard,4,247
9103996,225,Standard,4,130
9103996,226,Standard,2,113
9103996,227,Standard,3,203
9103996,228,Standard,4,106
9103996,229,Standard,6,239
9103996,230,Standard,5,112
9103996,231,Standard,7,244
9103996,232,Standard,5,109
9103996,233,Standard,4,113
9103996,234,Standard,4,170
9103996,235,Standard,3,222
9103996,236,Standard,2,129
9103996,237,Standard,2,129
9103996,238,Standard,4,152
9103996,239,Standard,4,139
9103996,240,Standard,4,144
9103996,241,Standard,2,178
9103996,242,Standard,2,118
9103996,243,Standard,5,138
9103996,244,Standard,3,226
9103996,245,Standard,5,205
9103996,246,Standard,6,149
9103996,247,Standard,7,178
9103996,248,Standard,2,205
9103996,249,Standard,3,137
9103996,250,Standard,7,245
9103996,251,Standard,5,176
9103996,252,Standard,6,178
9103996,253,Standard,5,177
9103996,254,Standard,3,222
9103996,255,Standard,7,231
9103996,256,Standard,3,143
9103996,257,Standard,5,115
9103996,258,Standard,7,127
9103996,259,Standard,7,102
9103996,260,Standard,4,120
9103996,261,Standard,5,144
9103996,262,Standard,4,211
9103996,263,Standard,2,155
9103996,264,Standard,7,196
9103996,265,Standard,4,224
9103996,266,Standard,7,219
9103996,267,Standard,6,237
9103996,268,Standard,2,159
9103996,269,Standard,3,105
9103996,270,Standard,4,240
9103996,271,Standard,7,218
9103996,272,Standard,7,128
9103996,273,Standard,2,191
9103996,274,Standard,7,194
9103996,275,Standard,6,104
9103996,276,Standard,4,216
9103996,277,Standard,5,156
9103996,278,Standard,5,129
9103996,279,Standard,2,197
9103996,280,Standard,3,219
9103996,281,Standard,6,219
9103996,282,Standard,2,175
9103996,283,Standard,6,162
9103996,284,Standard,3,108
9103996,285,Standard,3,101
9103996,286,Standard,2,204
9103996,287,Standard,2,247
9103996,288,Standard,2,166
9103996,289,Standard,5,173
9103996,290,Standard,3,207
9103996,291,Standard,7,130
9103996,292,Standard,2,150
9103996,293,Standard,4,143
9103996,294,Standard,4,186
9103996,295,Standard,4,190
9103996,296,Standard,5,195
9103996,297,Standard,4,241
9103996,298,Standard,6,180
9103996,299,Standard,6,137
9103996,300,Standard,6,212
9103996,301,Deluxe,2,234
9103996,302,Deluxe,7,379
9103996,303,Deluxe,4,262
9103996,304,Deluxe,2,349
9103996,305,Deluxe,7,389
9103996,306,Deluxe,4,274
9103996,307,Deluxe,7,352
9103996,308,Deluxe,7,276
9103996,309,Deluxe,6,289
9103996,310,Deluxe,4,246
9103996,311,Deluxe,6,276
9103996,312,Deluxe,2,363
9103996,313,Deluxe,6,255
9103996,314,Deluxe,6,376
9103996,315,Deluxe,6,260
9103996,316,Deluxe,2,223
9103996,317,Deluxe,6,259
9103996,318,Deluxe,7,343
9103996,319,Deluxe,5,255
9103996,320,Deluxe,5,386
9103996,321,Deluxe,7,367
9103996,322,Deluxe,6,330
9103996,323,Deluxe,2,365
9103996,324,Deluxe,3,364
9103996,325,Deluxe,2,383
9103996,326,Deluxe,3,308
9103996,327,Deluxe,2,201
9103996,328,Deluxe,6,392
9103996,329,Deluxe,4,275
9103996,330,Deluxe,5,224
9103996,331,Deluxe,5,283
9103996,332,Deluxe,7,201
9103996,333,Deluxe,6,243
9103996,334,Deluxe,6,290
9103996,335,Deluxe,3,331
9103996,336,Deluxe,2,343
9103996,337,Deluxe,5,301
9103996,338,Deluxe,7,296
9103996,339,Deluxe,7,228
9103996,340,Deluxe,7,209
9103996,341,Deluxe,6,227
9103996,342,Deluxe,5,317
9103996,343,Deluxe,4,386
9103996,344,Deluxe,2,351
9103996,345,Deluxe,3,311
9103996,346,Deluxe,5,246
9103996,347,Deluxe,3,230
9103996,348,Deluxe,2,396
9103996,349,Deluxe,4,281
9103996,350,Deluxe,4,344
9103996,351,Deluxe,3,332
9103996,352,Deluxe,3,385
9103996,353,Deluxe,4,246
9103996,354,Deluxe,2,240
9103996,355,Deluxe,6,254
9103996,356,Deluxe,7,297
9103996,357,Deluxe,4,259
9103996,358,Deluxe,3,330
9103996,359,Deluxe,7,369
9103996,360,Deluxe,7,207
9103996,361,Deluxe,6,343
9103996,362,Deluxe,4,252
9103996,363,Deluxe,3,331
9103996,364,Deluxe,4,241
9103996,365,Deluxe,2,246
9103996,366,Deluxe,4,288
9103996,367,Deluxe,7,237
9103996,368,Deluxe,3,355
9103996,369,Deluxe,6,364
9103996,370,Deluxe,3,209
9103996,371,Deluxe,6,240
9103996,372,Deluxe,3,353
9103996,373,Deluxe,7,309
9103996,374,Deluxe,4,269
9103996,375,Deluxe,6,316
9103996,376,Deluxe,3,226
9103996,377,Deluxe,2,332
9103996,378,Deluxe,3,371
9103996,379,Deluxe,3,312
9103996,380,Deluxe,6,384
9103996,381,Deluxe,4,264
9103996,382,Deluxe,2,346
9103996,383,Deluxe,2,276
9103996,384,Deluxe,7,229
9103996,385,Deluxe,7,263
9103996,386,Deluxe,5,287
9103996,387,Deluxe,4,375
9103996,388,Deluxe,6,334
9103996,389,Deluxe,6,386
9103996,390,Deluxe,2,211
9103996,391,Deluxe,3,260
9103996,392,Deluxe,6,354
9103996,393,Deluxe,4,362
9103996,394,Deluxe,2,338
9103996,395,Deluxe,2,351
9103996,396,Deluxe,7,319
9103996,397,Deluxe,2,255
9103996,398,Deluxe,5,334
9103996,399,Deluxe,2,400
9103996,400,Deluxe,4,359
9103996,401,Deluxe,6,231
9103996,402,Deluxe,7,327
9103996,403,Deluxe,6,227
9103996,404,Deluxe,6,320
9103996,405,Deluxe,2,364
9103996,406,Deluxe,7,228
9103996,407,Deluxe,2,266
9103996,408,Deluxe,5,272
9103996,409,Deluxe,5,306
9103996,410,Deluxe,3,332
9103996,411,Deluxe,3,373
9103996,412,Deluxe,2,276
9103996,413,Deluxe,7,256
9103996,414,Deluxe,4,317
9103996,415,Deluxe,5,337
9103996,416,Deluxe,6,366
9103996,417,Deluxe,2,248
9103996,418,Deluxe,3,367
9103996,419,Deluxe,6,378
9103996,420,Deluxe,5,239
9103996,421,Deluxe,3,346
9103996,422,Deluxe,2,327
9103996,423,Deluxe,2,319
9103996,424,Deluxe,3,292
9103996,425,Deluxe,6,227
9103996,426,Deluxe,6,369
9103996,427,Deluxe,3,342
9103996,428,Deluxe,2,209
9103996,429,Deluxe,6,389
9103996,430,Deluxe,6,353
9103996,431,Deluxe,5,261
9103996,432,Deluxe,4,234
9103996,433,Deluxe,6,257
9103996,434,Deluxe,4,373
9103996,435,Deluxe,6,345
9103996,436,Deluxe,4,332
9103996,437,Deluxe,5,383
9103996,438,Deluxe,2,380
9103996,439,Deluxe,4,309
9103996,440,Deluxe,2,311
9103996,441,Deluxe,3,252
9103996,442,Deluxe,7,242
9103996,443,Deluxe,6,209
9103996,444,Deluxe,3,216
9103996,445,Deluxe,3,265
9103996,446,Deluxe,3,243
9103996,447,Deluxe,4,326
9103996,448,Deluxe,7,351
9103996,449,Deluxe,5,264
9103996,450,Deluxe,6,227
9103996,451,King Bedroom,7,473
9103996,452,King Bedroom,6,351
9103996,453,King Bedroom,5,374
9103996,454,King Bedroom,4,408
9103996,455,King Bedroom,7,401
9103996,456,King Bedroom,3,385
9103996,457,King Bedroom,5,410
9103996,458,King Bedroom,2,475
9103996,459,King Bedroom,6,494
9103996,460,King Bedroom,5,496
9103996,461,King Bedroom,5,352
9103996,462,King Bedroom,4,437
9103996,463,King Bedroom,5,401
9103996,464,King Bedroom,6,402
9103996,465,King Bedroom,7,389
9103996,466,King Bedroom,4,386
9103996,467,King Bedroom,3,430
9103996,468,King Bedroom,2,424
9103996,469,King Bedroom,5,395
9103996,470,King Bedroom,2,379
9103996,471,King Bedroom,4,377
9103996,472,King Bedroom,3,369
9103996,473,King Bedroom,5,448
9103996,474,King Bedroom,5,403
9103996,475,King Bedroom,7,391
9103996,476,King Bedroom,5,495
9103996,477,King Bedroom,4,416
9103996,478,King Bedroom,5,486
9103996,479,King Bedroom,7,434
9103996,480,King Bedroom,5,374
9103996,481,King Bedroom,5,493
9103996,482,King Bedroom,3,471
9103996,483,King Bedroom,7,397
9103996,484,King Bedroom,7,409
9103996,485,King Bedroom,3,425
9103996,486,King Bedroom,4,419
9103996,487,King Bedroom,3,413
9103996,488,King Bedroom,3,375
9103996,489,King Bedroom,6,353
9103996,490,King Bedroom,3,419
9103996,491,King Bedroom,2,367
9103996,492,King Bedroom,5,397
9103996,493,King Bedroom,3,452
9103996,494,King Bedroom,2,390
9103996,495,King Bedroom,5,435
9103996,496,King Bedroom,7,361
9103996,497,King Bedroom,2,359
9103996,498,King Bedroom,3,463
9103996,499,King Bedroom,4,433
9103996,500,King Bedroom,5,447
9103996,501,King Bedroom,7,487
9103996,502,King Bedroom,7,409
9103996,503,King Bedroom,3,352
9103996,504,King Bedroom,7,406
9103996,505,King Bedroom,6,429
9103996,506,King Bedroom,6,393
9103996,507,King Bedroom,4,360
9103996,508,King Bedroom,2,361
9103996,509,King Bedroom,7,412
9103996,510,King Bedroom,3,444
9103996,511,King Bedroom,6,351
9103996,512,King Bedroom,5,465
9103996,513,King Bedroom,2,362
9103996,514,King Bedroom,6,499
9103996,515,King Bedroom,7,390
9103996,516,King Bedroom,2,471
9103996,517,King Bedroom,2,384
9103996,518,King Bedroom,6,465
9103996,519,King Bedroom,6,386
9103996,520,King Bedroom,7,418
9103996,521,King Bedroom,5,500
9103996,522,King Bedroom,7,376
9103996,523,King Bedroom,7,461
9103996,524,King Bedroom,7,436
9103996,525,King Bedroom,7,463
9103996,526,King Bedroom,6,470
9103996,527,King Bedroom,3,404
9103996,528,King Bedroom,3,469
9103996,529,King Bedroom,2,397
9103996,530,King Bedroom,5,392
9103996,531,King Bedroom,6,500
9103996,532,King Bedroom,5,495
9103996,533,King Bedroom,5,375
9103996,534,King Bedroom,4,401
9103996,535,King Bedroom,3,484
9103996,536,King Bedroom,7,434
9103996,537,King Bedroom,5,478
9103996,538,King Bedroom,3,436
9103996,539,King Bedroom,2,420
9103996,540,King Bedroom,6,466
9103996,541,King Bedroom,6,442
9103996,542,King Bedroom,6,487
9103996,543,King Bedroom,7,371
9103996,544,King Bedroom,2,422
9103996,545,King Bedroom,3,384
9103996,546,King Bedroom,3,473
9103996,547,King Bedroom,6,416
9103996,548,King Bedroom,7,385
9103996,549,King Bedroom,2,468
9103996,550,King Bedroom,7,494
9103996,551,Cabana,6,580
9103996,552,Cabana,3,520
9103996,553,Cabana,4,510
9103996,554,Cabana,5,537
9103996,555,Cabana,4,559
9103996,556,Cabana,5,560
9103996,557,Cabana,6,586
9103996,558,Cabana,6,579
9103996,559,Cabana,7,530
9103996,560,Cabana,5,593
9103996,561,Cabana,2,503
9103996,562,Cabana,7,565
9103996,563,Cabana,2,525
9103996,564,Cabana,2,594
9103996,565,Cabana,5,567
9103996,566,Cabana,2,576
9103996,567,Cabana,3,533
9103996,568,Cabana,7,536
9103996,569,Cabana,7,518
9103996,570,Cabana,2,589
9103996,571,Cabana,6,538
9103996,572,Cabana,5,600
9103996,573,Cabana,2,572
9103996,574,Cabana,4,509
9103996,575,Cabana,2,599
9103996,576,Cabana,2,548
9103996,577,Cabana,6,588
9103996,578,Cabana,5,588
9103996,579,Cabana,2,551
9103996,580,Cabana,2,564
9103996,581,Cabana,3,540
9103996,582,Cabana,7,520
9103996,583,Cabana,4,531
9103996,584,Cabana,6,580
9103996,585,Cabana,4,558
9103996,586,Cabana,2,517
9103996,587,Cabana,2,545
9103996,588,Cabana,6,583
9103996,589,Cabana,3,567
9103996,590,Cabana,7,525
9103996,591,Cabana,2,565
9103996,592,Cabana,3,553
9103996,593,Cabana,4,550
9103996,594,Cabana,4,506
9103996,595,Cabana,4,543
9103996,596,Cabana,5,585
9103996,597,Cabana,4,582
9103996,598,Cabana,2,597
9103996,599,Cabana,7,535
9103996,600,Cabana,3,598
9103996,601,Cabana,6,509
9103996,602,Cabana,7,570
9103996,603,Cabana,5,558
9103996,604,Cabana,3,541
9103996,605,Cabana,2,511
9103996,606,Cabana,6,550
9103996,607,Cabana,6,547
9103996,608,Cabana,7,530
9103996,609,Cabana,3,542
9103996,610,Cabana,3,581
9103996,611,Cabana,2,504
9103996,612,Cabana,2,532
9103996,613,Cabana,4,595
9103996,614,Cabana,5,530
9103996,615,Cabana,6,582
9103996,616,Cabana,5,544
9103996,617,Cabana,5,555
9103996,618,Cabana,6,582
9103996,619,Cabana,7,532
9103996,620,Cabana,2,597
9103996,621,Cabana,7,594
9103996,622,Cabana,4,568
9103996,623,Cabana,2,551
9103996,624,Cabana,2,522
9103996,625,Cabana,6,506
9103996,626,Cabana,5,509
9103996,627,Cabana,7,546
9103996,628,Cabana,4,598
9103996,629,Cabana,3,502
9103996,630,Cabana,6,568
9103996,631,Cabana,4,560
9103996,632,Cabana,2,582
9103996,633,Cabana,5,575
9103996,634,Cabana,3,541
9103996,635,Cabana,4,586
9103996,636,Cabana,7,593
9103996,637,Cabana,2,548
9103996,638,Cabana,4,520
9103996,639,Cabana,4,588
9103996,640,Cabana,7,516
9103996,641,Cabana,7,585
9103996,642,Cabana,5,595
9103996,643,Cabana,4,556
9103996,644,Cabana,6,512
9103996,645,Cabana,3,556
9103996,646,Cabana,3,560
9103996,647,Cabana,6,529
9103996,648,Cabana,4,538
9103996,649,Cabana,2,594
9103996,650,Cabana,6,539
9103996,651,Suite Room,3,935
9103996,652,Suite Room,4,969
9103996,653,Suite Room,7,1084
9103996,654,Suite Room,6,938
9103996,655,Suite Room,4,1082
9103996,656,Suite Room,4,980
9103996,657,Suite Room,7,1184
9103996,658,Suite Room,2,1002
9103996,659,Suite Room,2,1057
9103996,660,Suite Room,2,1035
9103996,661,Suite Room,2,939
9103996,662,Suite Room,6,1059
9103996,663,Suite Room,3,1003
9103996,664,Suite Room,6,1191
9103996,665,Suite Room,5,922
9103996,666,Suite Room,6,944
9103996,667,Suite Room,3,1132
9103996,668,Suite Room,5,1012
9103996,669,Suite Room,2,950
9103996,670,Suite Room,3,913
9103996,671,Suite Room,5,1015
9103996,672,Suite Room,3,962
9103996,673,Suite Room,6,1025
9103996,674,Suite Room,6,1077
9103996,675,Suite Room,6,964
9103996,676,Suite Room,2,976
9103996,677,Suite Room,4,1105
9103996,678,Suite Room,3,1112
9103996,679,Suite Room,3,1002
9103996,680,Suite Room,6,992
9103996,681,Suite Room,7,1141
9103996,682,Suite Room,6,1064
9103996,683,Suite Room,4,905
9103996,684,Suite Room,4,948
9103996,685,Suite Room,3,968
9103996,686,Suite Room,3,1011
9103996,687,Suite Room,2,1057
9103996,688,Suite Room,6,1104
9103996,689,Suite Room,5,1117
9103996,690,Suite Room,6,1066
9103996,691,Suite Room,5,1001
9103996,692,Suite Room,2,1048
9103996,693,Suite Room,4,1103
9103996,694,Suite Room,5,1172
9103996,695,Suite Room,3,1050
9103996,696,Suite Room,7,1128
9103996,697,Suite Room,4,1152
9103996,698,Suite Room,7,946
9103996,699,Suite Room,4,1031
9103996,700,Suite Room,4,1082
9104005,1,Standard,2,185
9104005,2,Standard,2,189
9104005,3,Standard,6,242
9104005,4,Standard,2,236
9104005,5,Standard,5,180
9104005,6,Standard,6,147
9104005,7,Standard,5,165
9104005,8,Standard,7,166
9104005,9,Standard,5,219
9104005,10,Standard,4,231
9104005,11,Standard,6,137
9104005,12,Standard,4,248
9104005,13,Standard,5,158
9104005,14,Standard,4,112
9104005,15,Standard,2,166
9104005,16,Standard,6,248
9104005,17,Standard,6,120
9104005,18,Standard,3,146
9104005,19,Standard,5,191
9104005,20,Standard,4,195
9104005,21,Standard,6,204
9104005,22,Standard,6,144
9104005,23,Standard,6,202
9104005,24,Standard,2,248
9104005,25,Standard,3,135
9104005,26,Standard,3,106
9104005,27,Standard,6,245
9104005,28,Standard,3,248
9104005,29,Standard,2,212
9104005,30,Standard,4,197
9104005,31,Standard,6,182
9104005,32,Standard,6,228
9104005,33,Standard,7,245
9104005,34,Standard,3,158
9104005,35,Standard,4,151
9104005,36,Standard,7,128
9104005,37,Standard,3,120
9104005,38,Standard,2,180
9104005,39,Standard,5,118
9104005,40,Standard,6,132
9104005,41,Standard,2,220
9104005,42,Standard,7,178
9104005,43,Standard,6,169
9104005,44,Standard,6,133
9104005,45,Standard,4,231
9104005,46,Standard,5,249
9104005,47,Standard,5,175
9104005,48,Standard,4,218
9104005,49,Standard,3,241
9104005,50,Standard,5,131
9104005,51,Standard,6,227
9104005,52,Standard,2,183
9104005,53,Standard,7,196
9104005,54,Standard,3,185
9104005,55,Standard,7,206
9104005,56,Standard,3,190
9104005,57,Standard,6,249
9104005,58,Standard,6,189
9104005,59,Standard,4,181
9104005,60,Standard,7,145
9104005,61,Standard,4,164
9104005,62,Standard,4,241
9104005,63,Standard,5,218
9104005,64,Standard,6,203
9104005,65,Standard,6,143
9104005,66,Standard,7,231
9104005,67,Standard,3,149
9104005,68,Standard,4,115
9104005,69,Standard,6,171
9104005,70,Standard,2,226
9104005,71,Standard,3,137
9104005,72,Standard,2,238
9104005,73,Standard,6,128
9104005,74,Standard,3,192
9104005,75,Standard,6,117
9104005,76,Standard,6,215
9104005,77,Standard,5,113
9104005,78,Standard,7,157
9104005,79,Standard,7,187
9104005,80,Standard,4,154
9104005,81,Standard,7,189
9104005,82,Standard,2,226
9104005,83,Standard,7,166
9104005,84,Standard,5,233
9104005,85,Standard,4,231
9104005,86,Standard,2,221
9104005,87,Standard,6,244
9104005,88,Standard,7,198
9104005,89,Standard,4,140
9104005,90,Standard,4,173
9104005,91,Standard,5,248
9104005,92,Standard,6,102
9104005,93,Standard,6,209
9104005,94,Standard,3,133
9104005,95,Standard,5,246
9104005,96,Standard,7,234
9104005,97,Standard,7,143
9104005,98,Standard,3,198
9104005,99,Standard,6,120
9104005,100,Standard,3,243
9104005,101,Standard,7,136
9104005,102,Standard,2,193
9104005,103,Standard,4,227
9104005,104,Standard,4,121
9104005,105,Standard,4,173
9104005,106,Standard,6,193
9104005,107,Standard,4,107
9104005,108,Standard,3,198
9104005,109,Standard,3,164
9104005,110,Standard,3,244
9104005,111,Standard,4,181
9104005,112,Standard,3,131
9104005,113,Standard,6,120
9104005,114,Standard,2,212
9104005,115,Standard,2,116
9104005,116,Standard,5,101
9104005,117,Standard,2,207
9104005,118,Standard,3,208
9104005,119,Standard,2,149
9104005,120,Standard,3,200
9104005,121,Standard,7,128
9104005,122,Standard,3,151
9104005,123,Standard,3,242
9104005,124,Standard,5,115
9104005,125,Standard,2,148
9104005,126,Standard,3,174
9104005,127,Standard,4,121
9104005,128,Standard,7,155
9104005,129,Standard,4,179
9104005,130,Standard,6,237
9104005,131,Standard,2,135
9104005,132,Standard,3,156
9104005,133,Standard,2,225
9104005,134,Standard,6,153
9104005,135,Standard,5,209
9104005,136,Standard,3,139
9104005,137,Standard,7,104
9104005,138,Standard,3,163
9104005,139,Standard,7,107
9104005,140,Standard,2,102
9104005,141,Standard,3,169
9104005,142,Standard,2,225
9104005,143,Standard,6,150
9104005,144,Standard,3,239
9104005,145,Standard,4,235
9104005,146,Standard,4,210
9104005,147,Standard,2,116
9104005,148,Standard,3,166
9104005,149,Standard,3,190
9104005,150,Standard,2,249
9104005,151,Standard,3,118
9104005,152,Standard,3,187
9104005,153,Standard,6,201
9104005,154,Standard,5,223
9104005,155,Standard,2,244
9104005,156,Standard,7,249
9104005,157,Standard,7,111
9104005,158,Standard,3,149
9104005,159,Standard,3,159
9104005,160,Standard,6,159
9104005,161,Standard,4,133
9104005,162,Standard,6,223
9104005,163,Standard,7,234
9104005,164,Standard,2,202
9104005,165,Standard,6,145
9104005,166,Standard,3,243
9104005,167,Standard,3,126
9104005,168,Standard,2,134
9104005,169,Standard,3,140
9104005,170,Standard,5,241
9104005,171,Standard,7,118
9104005,172,Standard,6,169
9104005,173,Standard,5,183
9104005,174,Standard,3,230
9104005,175,Standard,2,210
9104005,176,Standard,2,163
9104005,177,Standard,3,152
9104005,178,Standard,4,237
9104005,179,Standard,5,107
9104005,180,Standard,6,111
9104005,181,Standard,5,204
9104005,182,Standard,2,170
9104005,183,Standard,3,217
9104005,184,Standard,7,204
9104005,185,Standard,4,194
9104005,186,Standard,3,236
9104005,187,Standard,3,210
9104005,188,Standard,4,189
9104005,189,Standard,3,178
9104005,190,Standard,2,166
9104005,191,Standard,3,101
9104005,192,Standard,7,113
9104005,193,Standard,7,191
9104005,194,Standard,6,249
9104005,195,Standard,2,232
9104005,196,Standard,2,169
9104005,197,Standard,2,233
9104005,198,Standard,7,158
9104005,199,Standard,7,173
9104005,200,Standard,3,111
9104005,201,Standard,2,111
9104005,202,Standard,7,162
9104005,203,Standard,3,134
9104005,204,Standard,6,127
9104005,205,Standard,3,146
9104005,206,Standard,2,199
9104005,207,Standard,3,126
9104005,208,Standard,7,226
9104005,209,Standard,6,190
9104005,210,Standard,4,221
9104005,211,Standard,4,119
9104005,212,Standard,6,145
9104005,213,Standard,4,225
9104005,214,Standard,5,117
9104005,215,Standard,4,112
9104005,216,Standard,2,113
9104005,217,Standard,6,141
9104005,218,Standard,5,228
9104005,219,Standard,4,141
9104005,220,Standard,7,212
9104005,221,Standard,4,116
9104005,222,Standard,5,246
9104005,223,Standard,6,146
9104005,224,Standard,4,220
9104005,225,Standard,4,122
9104005,226,Standard,5,212
9104005,227,Standard,4,127
9104005,228,Standard,2,212
9104005,229,Standard,7,214
9104005,230,Standard,4,197
9104005,231,Standard,6,138
9104005,232,Standard,3,190
9104005,233,Standard,5,172
9104005,234,Standard,7,210
9104005,235,Standard,5,119
9104005,236,Standard,3,128
9104005,237,Standard,3,107
